degree_id,profession_id,edge_type,path_strength,confidence,source,notes
cs_bachelors,software_engineer,leads_to,high,0.9,seed_curated,"Canonical path"
cs_bachelors,data_analyst,leads_to,medium,0.7,seed_curated,"Common analytical path"
cs_bachelors,product_designer,leads_to,low,0.4,seed_curated,"Possible with portfolio and design pivot"
information_systems_bachelors,data_analyst,leads_to,high,0.8,seed_curated,"Strong business-tech fit"
information_systems_bachelors,software_engineer,leads_to,medium,0.6,seed_curated,"Possible depending on technical depth"
information_systems_bachelors,management_consultant,leads_to,medium,0.5,seed_curated,"Useful in systems and operations consulting"
nursing_bachelors,nurse_registered,leads_to,high,0.95,seed_curated,"Primary direct path"
finance_bachelors,investment_banker,leads_to,medium,0.6,seed_curated,"Common but selective path"
finance_bachelors,accountant,leads_to,medium,0.5,seed_curated,"Often adjacent in finance orgs"
finance_bachelors,management_consultant,leads_to,medium,0.5,seed_curated,"Analytical business path"
economics_bachelors,management_consultant,leads_to,medium,0.6,seed_curated,"Common analytical generalist path"
economics_bachelors,data_analyst,leads_to,medium,0.6,seed_curated,"Quantitative route"
economics_bachelors,investment_banker,leads_to,medium,0.5,seed_curated,"Selective finance route"
accounting_bachelors,accountant,leads_to,high,0.95,seed_curated,"Primary direct path"
accounting_bachelors,investment_banker,leads_to,low,0.3,seed_curated,"Possible but less direct"
graphic_design_bachelors,graphic_designer,leads_to,high,0.9,seed_curated,"Primary path"
graphic_design_bachelors,product_designer,leads_to,medium,0.5,seed_curated,"Possible with product/UX skills"
ux_design_bachelors,product_designer,leads_to,high,0.9,seed_curated,"Primary path"
ux_design_bachelors,graphic_designer,leads_to,medium,0.5,seed_curated,"Adjacent visual path"
education_bachelors,teacher_secondary,leads_to,high,0.95,seed_curated,"Primary path"
biology_bachelors,data_analyst,leads_to,low,0.3,seed_curated,"Possible via analytics specialization"
biology_bachelors,nurse_registered,leads_to,low,0.2,seed_curated,"Requires separate credentialing pathway"
pre_med_bachelors,physician,leads_to,high,0.8,seed_curated,"Requires additional medical training"
construction_management_bachelors,electrician,leads_to,low,0.2,seed_curated,"Usually adjacent rather than direct"
construction_management_bachelors,tile_setter,leads_to,low,0.2,seed_curated,"Usually adjacent rather than direct"
construction_management_bachelors,management_consultant,leads_to,low,0.2,seed_curated,"Possible only in niche construction consulting"
