degree_id,degree_name,degree_family,cip_code,award_level,source_type,notes,interest_tags
cs_bachelors,Computer Science,Technology,11.0701,bachelors,cip_crosswalk,"Broad technical path into software and digital product work","tech;research"
mis_bachelors,Management Information Systems,Business Technology,52.1201,bachelors,cip_crosswalk,"Business + systems bridge with analyst-heavy outcomes","tech;business;research"
nursing_bachelors,Registered Nursing,Healthcare,51.3801,bachelors,cip_crosswalk,"Direct route into clinical care work with broad geographic demand","healthcare;helping_people;communication"
finance_bachelors,Finance,Business,52.0801,bachelors,cip_crosswalk,"Classic route into financial analysis and related business roles","business;research"
economics_bachelors,Economics,Business,45.0601,bachelors,cip_crosswalk,"Analytical social science path with policy, research, and business options","business;research"
accounting_bachelors,Accounting,Business,52.0301,bachelors,cip_crosswalk,"Structured route into accounting, audit, and financial operations","business;research"
graphic_design_bachelors,Graphic Design,Design,50.0409,bachelors,cip_crosswalk,"Visual communication path with creative and digital outcomes","design;communication"
ux_design_bachelors,Web and Digital Experience Design,Design,11.0801,bachelors,cip_crosswalk,"Digital design path oriented toward interface and user experience work","design;tech;communication"
secondary_education_bachelors,Secondary Education,Education,13.1205,bachelors,cip_crosswalk,"Teaching-focused path with local labor market relevance","communication;helping_people"
biology_bachelors,Biology,Science,26.0101,bachelors,cip_crosswalk,"Science foundation that can lead to lab roles or more schooling","research;healthcare"
construction_management_bachelors,Construction Management,Trades,52.2001,bachelors,cip_crosswalk,"Operations-heavy path linked to jobsite leadership","hands_on;business"
electrician_apprenticeship,Electrician Apprenticeship,Trades,,apprenticeship,manual,"Hands-on credential path with strong local demand and low AI exposure","hands_on"
tile_setting_certificate,Tile Setting Certificate,Trades,,certificate,manual,"Hands-on craft path with visible tangible output and strong boundary potential","hands_on"
